what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1383007397467
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1383007397467
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1383007397467
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1383007397467
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1383007397467
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1383007397467
started,bundle,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.ui",1383007397467
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1383007397467
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1383007397467
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1383007397467
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1383007397467
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1383007397467
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1383007397467
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1383007397467
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1383007397467
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1383007397467
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1383007397467
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1383007397467
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1383007397467
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1383007397467
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1383007397467
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1383007397467
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1383007397467
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1383007397467
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1383007397467
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1383007397467
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1383007397467
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1383007397467
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1383007397467
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1383007397467
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1383007397467
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1383007397467
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1383007397467
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1383007397467
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1383007397467
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1383007397467
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1383007397467
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1383007397467
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1383007397467
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1383007397467
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1383007397467
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1383007397467
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1383007397467
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1383007397467
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1383007397467
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1383007397467
started,bundle,org.eclipse.equinox.weaving.aspectj,1.0.100.I20120427-0800,"org.eclipse.equinox.weaving.aspectj",1383007397467
started,bundle,org.scala-ide.sdt.aspects,2.1.0.nightly-2_10-201301180415-63d526c,"org.scala-ide.sdt.aspects",1383007397467
started,bundle,org.eclipse.egit.core,2.3.1.201302201838-r,"org.eclipse.egit.core",1383007397467
started,bundle,org.eclipse.egit.ui,2.3.1.201302201838-r,"org.eclipse.egit.ui",1383007397467
started,bundle,org.eclipse.jgit,2.3.1.201302201838-r,"org.eclipse.jgit",1383007397467
os,sysinfo,,,"macosx",1383007397470
arch,sysinfo,,,"x86_64",1383007397470
ws,sysinfo,,,"cocoa",1383007397470
locale,sysinfo,,,"en_US",1383007397470
processors,sysinfo,,,"4",1383007397470
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1383007397470
java.runtime.version,sysinfo,,,"1.6.0_65-b14-462-11M4609",1383007397470
java.specification.name,sysinfo,,,"Java Platform API Specification",1383007397470
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1383007397470
java.specification.version,sysinfo,,,"1.6",1383007397470
java.vendor,sysinfo,,,"Apple Inc.",1383007397470
java.version,sysinfo,,,"1.6.0_65",1383007397470
java.vm.info,sysinfo,,,"mixed mode",1383007397471
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1383007397471
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1383007397471
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1383007397471
java.vm.specification.version,sysinfo,,,"1.0",1383007397471
java.vm.vendor,sysinfo,,,"Apple Inc.",1383007397471
java.vm.version,sysinfo,,,"20.65-b04-462",1383007397471
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110815-1438,"org.eclipse.equinox.simpleconfigurator.manipulator",1383007399494
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383007399595
activated,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1383007399624
started,bundle,org.scala-ide.sdt.core,2.1.0.nightly-2_10-201301180415-63d526c,"org.scala-ide.sdt.core",1383007399782
started,bundle,org.scala-ide.sdt.debug,2.1.0.nightly-2_10-201301180415-63d526c,"org.scala-ide.sdt.debug",1383007399787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383007399841
started,bundle,com.android.ide.eclipse.base,21.0.1.v201212060256-543035,"com.android.ide.eclipse.base",1383007399920
started,bundle,com.android.ide.eclipse.adt,21.0.1.v201212060256-543035,"com.android.ide.eclipse.adt",1383007400338
started,bundle,org.eclipse.team.svn.core,1.0.0.I20121228-1700,"org.eclipse.team.svn.core",1383007400407
started,bundle,org.eclipse.team.svn.ui,1.0.0.I20121228-1700,"org.eclipse.team.svn.ui",1383007400503
started,bundle,org.eclipse.swtbot.eclipse.ui,2.1.1.201307101628,"org.eclipse.swtbot.eclipse.ui",1383007400530
started,bundle,org.polarion.eclipse.team.svn.connector.javahl17,3.0.0.I20121228-1700,"org.polarion.eclipse.team.svn.connector.javahl17",1383007400558
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit17,3.0.0.I20130122-1700,"org.polarion.eclipse.team.svn.connector.svnkit17",1383007400562
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383007406661
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1383007407452
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1383007407462
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1383007407492
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383007411880
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383007445082
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383007450551
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1383007458524
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1383007458526
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383007472669
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1383007472702
started,bundle,org.eclipse.ui.browser,3.3.101.v20111019-1723,"org.eclipse.ui.browser",1383007477342
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1383007477427
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1383007477448
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383007482148
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1383007490838
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1383007490861
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.perspectives.showPerspective",1383007490861
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk",1383007494379
started,bundle,org.eclipse.equinox.p2.ui,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.ui",1383007494401
started,bundle,org.eclipse.equinox.p2.transport.ecf,1.0.0.v20111128-0624,"org.eclipse.equinox.p2.transport.ecf",1383007495825
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20110531-2218,"org.eclipse.ecf.filetransfer",1383007495885
started,bundle,org.eclipse.ecf.identity,3.1.100.v20110531-2218,"org.eclipse.ecf.identity",1383007495912
